date,text
2022-03-08T03:48:00.000Z,"The City is accepting applications for a Payroll Specialist. The incumbent will perform increasingly responsible professional work in the accounting and reporting of City funds, as well as payroll processing. To apply, please go to our website here: https://t.co/SVhT11PrJQ https://t.co/KnPVr5bhpz"
2022-03-07T03:42:00.000Z,"The Meridian Streetscapes Project page on our website has been updated with new documents and videos, including our recent Open House Ceremonies, to review. Please visit our website page here to learn more about this project at https://t.co/Zlnkk0nU4n https://t.co/mqPTXLMnCs"
2022-03-06T01:26:00.000Z,"With spring around the corner, now is a good time to be thinking about ways to prep your garden for our pollinators. Learn more on our Bee City page here https://t.co/NEUWJ5ZLEA https://t.co/UwqvoK5aWn"
2022-03-05T02:58:00.000Z,"Join the Pierce Conservation District on March 12 for a day of habitat restoration at East Silver Creek. Work includes invasive species removal and assessing existing plantings. To volunteer and learn more, please go to https://t.co/81JsaJUFBh https://t.co/E7hO04Gh9q"
2022-03-03T17:42:00.000Z,The City of Puyallup is now on LinkedIn. Please visit our profile for the latest career opportunities with the City. https://t.co/CUgLLjIZO2 https://t.co/a4eY0Xfty7
2022-03-02T18:46:54.000Z,Update on E Pioneer at 33rd St SE. The eastbound lane is currently closed. The westbound lane is open.
2022-03-02T02:50:10.000Z,Update on E Pioneer. PSE crews were able to remove the tree debris and stabilize the hill and power poles. E Pioneer at 33rd SE is now open. https://t.co/2TWLaPCgUD
2022-03-02T01:14:26.000Z,"Residents, please be advised that E Pioneer from 33rd SE to the City limits is closed due to a down tree and mudslide that occurred earlier today. The road will remain closed through the evening. Please see the attached map for alternate routes. https://t.co/MmLST9qR2l"
2022-03-01T23:00:00.000Z,"Today, we held a Ribbon Cutting Ceremony to commemorate the reopening of the Veterans Memorial Bridge. A big thank you to all of the project stakeholders and community members who came out to the Ceremony. The Veterans Memorial Bridge is officially open! https://t.co/EblRY3uPQq"
2022-02-28T18:51:00.000Z,"Today, we recognize Shellie Willis as one of our local leaders making Puyallup an equitable community. Shellie Willis is the Senior Director of Collective Impact at Workforce Central, the workforce development council serving job seekers in Pierce County. https://t.co/OE2bblm2zl https://t.co/KH3sOkCjno"
2022-02-27T18:30:00.000Z,"The City of Puyallup is revising the deadline to submit for amendments to the 2022 Comprehensive Plan update. The new deadline is February 28, 2022, to submit privately initiated site applications, which would go into effect in 2022. FMI https://t.co/bLELkJHf7b https://t.co/OWQhdUHdbp"
2022-02-27T02:43:00.000Z,"At 2 pm on March 1, 2022, the Veterans Memorial Bridge will officially reopen to vehicles. The reopening has been on the minds of many residents, especially those who live near the bridge. Read more about the Bridge reopening in our article here: https://t.co/rw5jFJzAnd https://t.co/ytfzOMUDdD"
2022-02-25T17:13:00.000Z,"""Celebrating our Community: Experiencing Black Puyallup"" is the first-ever community-wide Black History celebration in Puyallup. The event is held at the Nazarene Church on Saturday, February 26, 2022, with pre-event seminars on Friday, the 26th. FMI: https://t.co/55zuACamCO https://t.co/INjMhUA4Cz"
2022-02-25T04:33:00.000Z,"Built in 1990, the current restroom building in Pioneer Park has served the community well. Now, the restrooms are slated to receive some much-needed upgrades. Learn more in our e-newsletter article here: https://t.co/NszL9ocBVO https://t.co/iRTmi47Adr"
2022-02-24T16:44:11.000Z,RT @PuyallupPD : Please use extra caution while driving today! Stay safe! https://t.co/JobmrUXUz7
2022-02-23T18:21:00.000Z,"Today, we recognize Reginald Robinson, owner of Altha's Cajun, as one of our local leaders who are making Puyallup a diverse and equitable community. Leadership, in his mind, is about giving back to the community, especially in times of need. Read here: https://t.co/OE2bblm2zl https://t.co/f0LoTwMGgP"
2022-02-23T03:04:00.000Z,"Today, we held a Ribbon Cutting Ceremony at Sam Peach Park to dedicate the new playground equipment. The funds for this playground were graciously donated by Sam and Winifred Peach. Thank you to the Peach family for your generous donation! https://t.co/Me54A4scCU"
2022-02-21T18:20:00.000Z,Happy Presidents Day from the City of Puyallup! https://t.co/2tNkLgkc3m
2022-02-21T03:06:00.000Z,"The Veterans Memorial Bridge is set to reopen on March 1, 2022, at 2 pm to vehicles. At 10 am that morning, the City will host a Ribbon Cutting Ceremony to commemorate the Bridge reopening. Learn more in our e-newsletter article here: https://t.co/rw5jFJzAnd https://t.co/g4pVJNsUmB"
2022-02-19T18:30:00.000Z,"The City of Puyallup seeks artists to propose an original design for reproduction and installation on signal cabinets. The wraps will deter graffiti and add visual beauty to our shared streetscapes. For more information, please go to our website here: https://t.co/WfZniLJZ4i https://t.co/sYRksji2Wx"
2022-02-19T02:00:00.000Z,"JMarie Johnson-Kola is a 10-year Marine Corps Veteran who has lived in Puyallup since 2016. ?Leadership means being the type of Leader who stands shoulder to shoulder with others to help create that connected community,? says JMarie. Read more here https://t.co/OE2bblm2zl https://t.co/ttXNH3xAMP"
2022-02-18T01:46:00.000Z,"The City of Puyallup is revising the deadline to submit for amendments to the 2022 Comprehensive Plan update. The new deadline is February 28, 2022, to submit privately initiated site applications, which would go into effect in 2022. For an application https://t.co/bLELkJHf7b https://t.co/hxilsFHvlT"
2022-02-17T03:42:00.000Z,"The Pioneer Park Restrooms will be getting some much-needed upgrades. Starting in the fall, construction will begin on renovating the restroom building. Learn more in our e-newsletter article here: https://t.co/NszL9oucNm https://t.co/ZwZOAVBsKL"
2022-02-16T02:21:00.000Z,The City is hosting a Ribbon Cutting Ceremony on February 22nd at 4 pm to commemorate the new playground equipment at Sam Peach Park. Sam and Winifred Peach graciously donated the funds to upgrade the playground. Thank you Sam and Winifred! https://t.co/9Y8VzPHpEz
2022-02-14T18:06:00.000Z,Have a happy Valentine's Day! https://t.co/EkJV1F76d7
2022-02-13T20:05:00.000Z,The northbound lane of Shaw Road is open. Public Works crews were able to patch a section of road that was in need of repairs. This repair has improved the ride quality and durability of the road. https://t.co/PQH1wMoClZ
2022-02-13T18:05:00.000Z,"Today, as part of our Black History Month celebration, we recognize Davida Sharpe-Haygood as one of our local leaders, who are making Puyallup a diverse and equitable community. 
Read the full article here: https://t.co/OE2bbl4rHN https://t.co/UwHcZbgxOB"
2022-02-12T15:10:00.000Z,"Closed in October 2020, the Veterans Memorial Bridge has undergone extensive rehabilitation to extend its useful life. Recent renovations and improvements made to the bridge are expected to extend the useful life of the bridge by several decades. FMI: https://t.co/rw5jFJzAnd https://t.co/PDaoytIprz"
2022-02-12T03:31:00.000Z,"If you have visited downtown Puyallup lately, you may have noticed something colorful. Artist Curtis Ashby talks about his new mural at Charlie's Restaurant. A big thank you to Puyallup Main Street Association for coordinating this beautiful mural! https://t.co/pX05WJ18Hg"
2022-02-12T00:56:13.000Z,RT @wsdot_tacoma : #Puyallup: Here is a look at the scene from earlier this afternoon by crews along westbound SR 512 near S Meridian. A driver took out 25-30 posts which resulted in cable barrier being flung across the highway. Crews are working diligently to make emergency repairs. @wspd1pio https://t.co/MDkCm6DxGh
2022-02-12T00:48:50.000Z,"RT @wsdot_tacoma : Westbound SR 512 backups reach #Auburn in @wsdot_traffic territory. Earlier today, a driver took out a number of posts that support the cable barrier dividing the WB/EB lanes. For safety, our crews need to repair them immediately. @wspd1pio https://t.co/UT7kMkRHbn"
2022-02-11T03:19:00.000Z,"The City is now accepting applications for a Grant Coordinator position. The successful candidate will perform professional work to coordinate the City?s grant funding program. For a full job description, and instructions on how to apply, please go to https://t.co/vGImc61wyh https://t.co/SLzavwcETm"
2022-02-09T18:57:54.000Z,"RT @CityView30Yrs : #CityView congratulates @CityofPuyallup for its recent go-live. The CityView software will help Puyallup revolutionize its plan review process while providing self-service options to citizens, business owners and contractors. Learn more: https://t.co/oYldfUY4sl https://t.co/FTjRsnoceQ"
2022-02-09T18:16:00.000Z,"On any given day at the Puyallup Valley Sports Complex, you?ll likely see Deon Moyd coaching, mentoring, and inspiring kids to be their best. Deon is the Recreation Manager for Puyallup Parks &amp; Rec and today we highlight his leadership for BHM. https://t.co/OE2bbl4rHN https://t.co/3DfdurLcgJ"
2022-02-09T03:18:00.000Z,The City is hosting a Ribbon Cutting Ceremony on February 22nd at 4 pm to commemorate the new playground equipment at Sam Peach Park. Sam and Winifred Peach graciously donated the funds to upgrade the playground. Thank you Sam and Winifred! https://t.co/mzYZ7SkQqu
2022-02-09T03:10:00.000Z,"Starting Friday, February 11, 2022, at 7:30 am through Sunday, February 13, 2022, at 7:00 am, a section of Shaw Road will be closed. The northbound lane of Shaw Road between 33rd Ave SE and 31st Ave SE will be closed to make repairs and improvements to that road section. https://t.co/t3AxFG4ZZ7"
2022-02-08T04:15:00.000Z,"Starting in the fall, construction will begin on renovations to the Pioneer Park restroom building.  Learn more in our e-newsletter article here: https://t.co/NszL9ocBVO https://t.co/CmE7eykJyT"
2022-02-06T19:11:00.000Z,"To celebrate Black History Month, the City is highlighting some of our local leaders, whose actions are making Puyallup a diverse and equitable community. Today, we highlight Dr. Darrell Cain, President of Pierce College Puyallup. Read the article here: https://t.co/OE2bblm2zl https://t.co/6NanHRfs9N"
2022-02-06T03:03:00.000Z,"After nearly eighteen months, the Veterans Memorial Bridge (aka Milwaukee Bridge) is set to reopen on March 1, 2022. The reopening of the bridge is the culmination of work done to repair this major crossing point over the Puyallup River. FMI https://t.co/rw5jFJhZvF https://t.co/Q54d80zEsl"
2022-02-04T18:19:00.000Z,"The City of Puyallup seeks artists to propose an original design for reproduction and installation on signal cabinets.   For more information, please go to our website here: https://t.co/WfZniLJZ4i https://t.co/XgQIGUdVis"
2022-02-04T03:50:00.000Z,Mayor Johnson recently sat down with the Tacoma News-Tribune to talk about his goals and priorities during his term as Mayor. Read the interview here: https://t.co/pz14or2bke https://t.co/7ElZWv8cjI
2022-02-03T03:49:00.000Z,"Save the date! The Puyallup Main Street Association has announced the dates for the Meeker Days Festival. June 17-19, 2022. Learn more at https://t.co/7oRJMXzTil https://t.co/ToRw3is7NG"
2022-02-02T18:47:00.000Z,"At last evening's City Council meeting, Mayor Johnson proclaimed February 2022 as Black History Month in Puyallup. In attendance to accept the proclamation was Pastor Ronelle McGraw Jr. from the Puyallup Nazarene Church. https://t.co/pKX0l4y2Tq"
2022-02-02T03:45:00.000Z,"The City of Puyallup is revising the deadline to submit for amendments to the 2022 Comprehensive Plan update. The new deadline is February 28, 2022, to submit privately initiated site applications, which would go into effect in 2022. For an application https://t.co/q2TH8BBWPl https://t.co/HPlqfOcOUg"
2022-02-01T03:43:00.000Z,"Tell us about downtown Puyallup! The City of Puyallup is identifying ways to further improve the character, aesthetic, and functionality of streets in Downtown Puyallup and along the Meridian corridor. Please take our online survey here: https://t.co/c0rF42TgaE https://t.co/edLGR7ZyeO"
2022-02-01T00:13:39.000Z,RT @PuyallupPD : ***IMPORTANT MESSAGE*** for Puyallup Residents located in the 700 block of West Pioneer. https://t.co/DaRey26i2E
2022-01-31T03:41:00.000Z,"Have you signed up for the Puyallup Connection, our monthly e-newsletter? Be one of the first to know about the latest City news, projects, and other topics. Sign up here: https://t.co/GcqF97lff2 https://t.co/hO9PT4PAwe"
2022-01-30T03:37:00.000Z,"Our next City Council Meeting is Tuesday, February 1, 2022, at 6:30 pm. The meeting will be held in person and electronically via the City's website. For a copy of the agenda and instructions on how to provide public comment, please go to https://t.co/nMPCyuUetm https://t.co/jdHTEorSuT"
2022-01-29T01:33:00.000Z,"Check out a book and go on a hike! The Library allows patrons to check out a backpack, which includes a Discovery Park Pass from Washington State Parks. This Pass is worth $35 annually but can be used for free at any time for Library customers. FMI https://t.co/8qWdRm3bJM https://t.co/3naMdN92d5"
2022-01-28T03:43:00.000Z,"Thank you to all who participated in the Meridian Streetscapes Open House yesterday. Feedback will be taken into consideration for the project. Our online survey is now live! For those who couldn?t participate, now you can weigh in. Survey here: https://t.co/c0rF42BFj6 https://t.co/px74g23DaM"
2022-01-26T03:35:00.000Z,"Register today for tomorrow?s, January 26, Meridian Streetscapes Project virtual Open House! We'll be hosting two sessions on the 26th, the first at Noon and the second at 6 pm. If you have questions, email meridianstreetscapes@puyallupwa.gov. FMI https://t.co/tLg3tog4Oa https://t.co/UYfclFFHII"
2022-01-24T23:30:00.000Z,"The @wastatefair has made the Tacoma News Tribune's list of Excellent 10 for 2021. Congratulations to the Fair! Mark your calendar, Spring Fair is April 14. Learn more at https://t.co/luTM0U9Pc3 https://t.co/UKPjzkD8g8"
2022-01-24T03:23:00.000Z,"The snow might be gone, but it is always a good idea to be prepared for winter driving. Learn more in our latest e-newsletter article here: https://t.co/veVRwPyYGH https://t.co/5pHqEvW9NY"
2022-01-23T03:08:00.000Z,"Our next City Council meeting is Tuesday, January 25, 2022, at 6:30 pm. The public can watch the meeting both in-person or virtually via the City's website. For a copy of the agenda, and instructions on how to provide public comment, please go to https://t.co/nMPCyuUetm https://t.co/gU3j18DLIM"
2022-01-21T21:33:31.000Z,RT @PuyallupPD : No rain in the forecast? Yay!!! Get outside and enjoy these rain free and crisp winter days. https://t.co/5vYi3yAeEh
2022-01-21T03:35:00.000Z,"The Meridian Streetscapes Project seeks to identify infrastructure improvements that enhance the function and character of downtown. As part of the project, the City is hosting a virtual Open House on January 26, 2021, to gauge public sentiment. Register  https://t.co/tLg3toxFFI https://t.co/f8UpYsZ7sB"
2022-01-19T03:31:00.000Z,Did you know that the Puyallup Public Library has a complimentary LinkedIn Learning account for all Library Card holders? Learn about this and other services in our e-news article here: https://t.co/6DFqe6CFP3 https://t.co/9qppFALls8
2022-01-17T18:00:00.000Z,"""The time is always right to do what is right."" - Martin Luther King, Jr.

Today, let us celebrate his life and legacy. Happy Martin Luther King Jr. Day. https://t.co/sgmftCgDBy"
2022-01-17T03:06:00.000Z,Hanging baskets and streetlamps are just some examples of streetscape elements that the City is looking to improve with the Meridian Streetscape Project. Get involved by participating in our upcoming virtual Open House on January 26 at 12 &amp; 6pm. FMI https://t.co/tLg3tog4Oa https://t.co/8MudeF2tzC
2022-01-14T18:57:00.000Z,"Puyallup City Hall will be closed on Monday, January 17, 2022, in observance of Martin Luther King Jr. Day. We will reopen on Tuesday, January 18 at 8 am. https://t.co/kgbk4qJAip"
2022-01-14T03:03:00.000Z,"The City of Puyallup is seeking applications for the following boards and commissions:

Arts &amp; Culture Commission
City Council Salary Commission
Civil Service Commission
Library Board
Planning Commission
Senior Advisory Board

FMI https://t.co/HG5QZHwaDt https://t.co/tbbEUQcCsm"
2022-01-13T19:32:53.000Z,"RT @PuyallupPD : Today is National Sticker Day!! If you are out and about and see one of our officers, ask them for a sticker. Our officers love to connect with the community and would be happy to share a sticker with you. #nationalstickerday https://t.co/839CMJIL22"
2022-01-13T03:03:00.000Z,"We want to hear from you about our downtown streetscapes. What is a streetscape? It includes benches, street trees, and other amenities that enhance Downtown. Join us for a virtual Open House on January 26, 2022, at Noon and 6 pm. Register to attend at https://t.co/tLg3tog4Oa. https://t.co/WqNRADaUxC"
